 ,Area,X,Y,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
296,170,5146.606,4859.382,5139,4852,15,15,0.939,16.155,5139,4862,21.801,15.000,1.014,0.986,0.914
297,6,4341.000,4915.500,4340,4914,2,3,1.000,3.606,4340,4914,123.690,2.000,1.500,0.667,1.000
298,74,4608.216,4922.392,4602,4918,12,9,0.874,12.166,4602,4923,9.462,9.000,1.257,0.795,0.860
299,4,3504.500,4920.000,3503,4919,3,2,1.000,3.606,3503,4919,146.310,2.000,2.031,0.492,0.800
300,15,3452.033,4926.033,3450,4923,4,6,0.804,6.325,3451,4929,71.565,4.000,1.607,0.622,0.769
301,5,3950.700,4944.100,3949,4943,3,2,1.000,3.606,3949,4945,33.690,2.000,1.553,0.644,0.909
302,44,3657.795,4963.955,3649,4958,17,11,0.306,20.248,3649,4958,147.095,4.026,6.772,0.148,0.662
303,4,4671.000,4966.000,4670,4965,2,2,1.000,2.828,4670,4965,135.000,2.000,1.000,1.000,1.000
304,13,3446.038,4969.346,3444,4966,4,6,0.697,7.211,3444,4972,56.310,3.536,2.603,0.384,0.765
305,9,3893.833,4972.833,3892,4971,4,3,0.923,5.000,3892,4971,143.130,3.000,1.758,0.569,0.857
306,4,1122.500,5076.750,1121,5076,3,2,1.000,3.162,1121,5076,161.565,2.000,1.468,0.681,0.800
307,14,3136.000,5095.214,3134,5093,4,4,1.000,5.000,3135,5093,126.870,4.000,1.125,0.889,0.933
308,53,3130.368,5113.028,3126,5109,9,8,0.877,10.296,3126,5110,150.945,8.000,1.194,0.837,0.862
309,60,3109.383,5117.333,3104,5113,10,9,0.849,10.817,3104,5115,146.310,8.854,1.088,0.919,0.851
310,38,3716.395,5172.105,3712,5169,9,6,0.861,9.849,3712,5174,23.962,6.000,1.554,0.644,0.817
311,193,3636.313,5210.241,3628,5202,17,16,0.879,17.804,3629,5215,38.157,16.000,1.035,0.967,0.891
312,15,1225.967,5210.433,1223,5209,6,3,0.869,6.325,1223,5209,161.565,3.000,2.007,0.498,0.882
313,36,6341.944,5248.528,6337,5245,9,7,0.650,10.296,6337,5246,150.945,7.000,1.547,0.646,0.742
314,127,3975.610,5293.941,3968,5287,14,14,0.859,15.232,3973,5301,66.801,12.021,1.237,0.809,0.876
315,718,6249.987,5336.421,6234,5320,33,31,0.744,33.242,6234,5340,15.709,30.858,1.071,0.934,0.909
316,21,3608.833,5368.262,3606,5366,5,5,0.971,7.071,3606,5366,135.000,5.000,1.300,0.769,0.933
317,9,6448.056,5371.722,6447,5369,2,5,0.832,5.385,6447,5374,68.199,2.000,2.386,0.419,0.947
318,19,4710.605,5377.447,4707,5376,8,3,0.745,8.246,4707,5379,14.036,3.000,2.630,0.380,0.884
319,6,6447.167,5379.667,6446,5378,2,4,0.809,4.472,6446,5378,116.565,2.000,2.237,0.447,0.857
320,58,6117.310,5389.379,6111,5384,14,9,0.536,14.318,6111,5388,167.905,9.000,1.482,0.675,0.659
321,7,4938.357,5463.643,4937,5461,3,5,0.564,5.831,4937,5466,59.036,2.683,2.842,0.352,0.667
322,4,619.750,5465.000,619,5463,2,4,0.539,4.472,619,5467,63.435,1.897,3.093,0.323,0.667
323,6,6448.500,5470.667,6447,5468,3,5,0.484,5.385,6448,5468,111.801,2.910,2.189,0.457,0.571
324,28,3514.393,5472.536,3511,5470,7,5,0.943,7.616,3511,5471,156.801,5.000,1.385,0.722,0.889
325,4,6282.000,5498.000,6281,5497,2,2,1.000,2.828,6281,5497,135.000,2.000,1.000,1.000,1.000
326,8,3634.125,5509.750,3632,5508,4,3,1.000,4.472,3632,5509,153.435,3.000,1.605,0.623,0.800
327,1447,3542.568,5535.599,3519,5515,49,41,0.743,49.769,3522,5548,22.443,41.000,1.173,0.853,0.939
328,5,3911.300,5528.500,3910,5527,3,3,0.873,3.606,3910,5527,123.690,2.683,1.496,0.668,0.714
329,8,6348.625,5533.625,6347,5532,3,3,1.000,4.243,6347,5535,45.000,3.000,1.229,0.814,0.941
330,24,5853.583,5543.667,5850,5539,8,8,0.507,10.630,5850,5546,41.186,5.458,2.772,0.361,0.623
331,4,2926.000,5563.000,2925,5562,2,2,1.000,2.828,2925,5562,135.000,2.000,1.000,1.000,1.000
332,67,3824.813,5566.978,3820,5562,10,10,0.884,10.770,3820,5569,21.801,9.153,1.136,0.880,0.870
333,35,1862.043,5566.329,1858,5563,7,7,0.851,8.485,1859,5569,45.000,7.000,1.169,0.855,0.843
334,120,2267.025,5570.175,2259,5564,16,14,0.572,18.439,2263,5578,49.399,12.075,1.738,0.575,0.755
335,13,6415.654,5591.192,6413,5589,5,4,1.000,5.385,6413,5590,158.199,4.000,1.263,0.792,0.788
336,16,2304.375,5600.438,2302,5598,5,5,1.000,5.831,2303,5598,120.964,4.243,1.317,0.759,0.821
337,15,2313.567,5600.100,2311,5598,5,4,1.000,5.385,2311,5599,158.199,4.000,1.295,0.772,0.857
338,6,2363.667,5612.333,2362,5611,3,3,1.000,3.606,2362,5613,33.690,2.828,1.291,0.775,0.800
339,109,6134.693,5621.014,6129,5615,12,12,1.000,13.000,6132,5615,112.620,12.000,1.024,0.977,0.928
340,8,6244.125,5630.125,6242,5629,4,3,0.914,4.472,6242,5629,153.435,3.000,1.372,0.729,0.800
341,19,2558.184,5656.974,2556,5654,5,6,0.916,6.083,2558,5654,99.462,5.000,1.120,0.892,0.809
342,1096,2498.841,5689.818,2479,5671,40,38,0.845,40.311,2479,5687,172.875,36.770,1.080,0.926,0.946
343,4,617.500,5706.000,617,5704,1,4,0.645,4.123,617,5704,104.036,1.000,4.000,0.250,1.000
344,23,3828.500,5765.326,3826,5763,5,5,1.000,6.403,3826,5763,128.660,5.000,1.008,0.992,0.958
345,1022,3088.942,5796.547,3070,5778,37,37,0.869,38.275,3073,5807,33.275,36.224,1.044,0.958,0.950
346,12,6435.833,5793.833,6433,5792,6,4,0.695,6.708,6433,5796,26.565,3.130,2.538,0.394,0.727
347,6,4791.000,5832.000,4789,5831,4,2,0.916,4.472,4789,5833,26.565,2.000,2.082,0.480,0.857
348,33,3843.076,5839.409,3839,5836,8,6,0.943,8.544,3839,5838,159.444,6.000,1.477,0.677,0.835
349,5,5933.300,5839.900,5932,5839,3,2,1.000,3.606,5932,5841,33.690,2.000,1.553,0.644,0.909
350,12,3062.917,5844.250,3061,5842,4,4,1.000,5.000,3061,5846,36.870,4.000,1.281,0.780,0.857
351,13,4125.808,5854.885,4124,5851,3,8,0.478,8.246,4125,5859,75.964,2.746,3.789,0.264,0.722
352,22,4240.000,5869.000,4237,5867,6,4,1.000,7.211,4237,5871,33.690,4.000,1.542,0.649,0.957
353,26,6079.808,5869.385,6077,5867,6,5,1.000,7.071,6077,5867,135.000,5.000,1.147,0.872,0.929
354,9,5306.611,5897.833,5305,5896,3,4,1.000,4.472,5306,5900,63.435,3.000,1.340,0.746,0.857
355,4,615.000,5904.750,614,5903,2,3,0.698,3.606,614,5903,123.690,2.000,1.637,0.611,0.727
356,6,957.500,5925.000,956,5924,3,2,1.000,3.606,956,5924,146.310,2.000,1.500,0.667,1.000
357,12,931.583,5934.833,930,5933,4,4,1.000,5.000,930,5937,36.870,4.000,1.218,0.821,0.889
358,51,3846.402,5951.892,3842,5948,9,8,0.963,9.487,3842,5950,161.565,8.000,1.227,0.815,0.872
359,5,4504.700,5950.900,4503,5950,3,2,1.000,3.606,4503,5950,146.310,2.000,1.553,0.644,0.909
360,13,1161.577,5953.654,1159,5951,5,5,0.584,7.071,1159,5956,45.000,3.795,2.070,0.483,0.703
361,18,3143.611,5977.778,3141,5975,5,5,0.808,5.831,3141,5976,149.036,5.000,1.206,0.829,0.818
362,6,3651.500,5997.000,3650,5996,3,2,1.000,3.606,3650,5996,146.310,2.000,1.500,0.667,1.000
363,13,1707.346,6012.346,1705,6010,4,5,0.697,5.385,1707,6015,68.199,4.000,1.154,0.866,0.788
364,8,3448.750,6014.750,3447,6013,4,3,0.914,4.472,3447,6016,26.565,3.000,1.416,0.706,0.800
365,83,3968.476,6029.741,3963,6025,11,10,0.913,11.662,3964,6026,149.036,10.000,1.043,0.959,0.902
366,7,4940.929,6031.643,4938,6030,6,3,0.455,6.708,4938,6033,26.565,2.236,4.208,0.238,0.636
367,7,1718.500,6038.214,1717,6037,3,3,1.000,3.606,1717,6037,123.690,3.000,1.069,0.936,0.875
368,5,1799.900,6055.300,1799,6054,2,3,1.000,3.606,1799,6057,56.310,2.000,1.553,0.644,0.909
369,7,4364.214,6056.500,4363,6055,3,3,1.000,3.606,4363,6055,123.690,3.000,1.069,0.936,0.875
370,8,1716.750,6062.375,1713,6061,7,2,0.443,7.071,1713,6062,171.870,2.000,4.730,0.211,0.727
371,19,1727.763,6063.816,1725,6062,6,4,0.944,7.211,1725,6066,33.690,4.000,1.795,0.557,0.905
372,188,988.479,6076.569,980,6069,17,15,0.830,17.464,981,6072,156.371,15.000,1.103,0.906,0.893
373,15,5113.500,6105.100,5111,6103,5,4,0.804,5.831,5111,6103,149.036,4.000,1.451,0.689,0.789
374,29,823.500,6107.500,820,6104,7,7,0.877,7.616,820,6109,23.199,6.325,1.089,0.918,0.784
375,5,836.100,6111.300,835,6110,2,3,1.000,3.606,835,6110,123.690,2.000,1.553,0.644,0.909
376,10,3608.400,6114.700,3607,6113,3,4,1.000,5.000,3607,6117,53.130,3.000,1.288,0.776,0.909
377,53,1015.443,6118.123,1008,6114,13,9,0.537,13.601,1008,6118,17.103,8.778,1.561,0.641,0.684
378,13,3560.038,6128.654,3558,6127,4,4,1.000,5.000,3558,6127,126.870,4.000,1.148,0.871,0.897
379,19,6359.553,6129.868,6357,6127,5,6,0.796,7.810,6357,6133,50.194,4.472,1.860,0.538,0.809
380,16,744.562,6130.625,742,6128,5,5,1.000,5.831,742,6129,149.036,4.243,1.317,0.759,0.821
381,34,3983.000,6131.794,3979,6129,8,6,0.972,8.544,3979,6133,20.556,6.000,1.344,0.744,0.861
382,7,5576.500,6131.214,5575,6130,3,3,1.000,3.606,5575,6130,123.690,3.000,1.069,0.936,0.875
383,20,3633.150,6133.750,3629,6132,7,4,0.764,7.616,3629,6132,156.801,4.000,1.597,0.626,0.870
384,74,2289.270,6138.041,2283,6133,13,10,0.716,13.928,2283,6139,21.038,9.191,1.538,0.650,0.763
385,97,777.428,6156.562,771,6151,13,11,0.690,13.928,771,6159,21.038,10.672,1.266,0.790,0.847
386,25,991.620,6155.540,987,6153,9,5,0.518,9.487,987,6156,18.435,4.743,2.259,0.443,0.725
387,32,3453.000,6157.438,3449,6154,8,7,0.803,10.000,3449,6155,143.130,4.950,2.216,0.451,0.831
388,11,2337.409,6185.682,2335,6184,5,3,0.976,5.831,2335,6184,149.036,3.000,2.173,0.460,0.846
389,6,1120.667,6218.667,1119,6217,3,3,1.000,3.606,1120,6217,123.690,2.828,1.291,0.775,0.800
390,4,2015.750,6232.500,2015,6231,2,3,0.857,3.162,2015,6231,108.435,2.000,1.468,0.681,0.800
391,16,3541.000,6232.938,3538,6231,6,4,0.927,6.083,3538,6232,170.538,4.000,1.398,0.715,0.821
392,61,3487.746,6256.500,3483,6252,9,9,0.951,10.630,3484,6260,41.186,8.854,1.144,0.874,0.891
393,510,1360.898,6268.425,1348,6253,25,29,0.763,29.428,1358,6253,99.782,24.907,1.170,0.855,0.916
394,6,1134.500,6257.000,1133,6256,3,2,1.000,3.606,1133,6256,146.310,2.000,1.500,0.667,1.000
395,20,1124.600,6259.200,1121,6257,7,4,0.898,7.280,1121,6258,164.055,4.000,1.740,0.575,0.833
396,4,3546.000,6267.000,3545,6266,2,2,1.000,2.828,3545,6266,135.000,2.000,1.000,1.000,1.000
397,6,641.667,6276.333,640,6275,3,3,1.000,3.606,640,6277,33.690,2.828,1.291,0.775,0.800
398,6,5287.000,6321.000,5285,6320,4,2,0.916,4.472,5285,6322,26.565,2.000,2.082,0.480,0.857
399,19,2779.921,6332.816,2776,6331,7,4,0.745,7.280,2776,6332,164.055,4.000,1.937,0.516,0.826
400,16,4805.250,6334.812,4803,6333,5,4,0.958,5.831,4803,6336,30.964,4.000,1.090,0.918,0.889
401,26,3775.115,6352.346,3772,6349,6,6,0.805,7.071,3773,6355,45.000,6.000,1.091,0.917,0.839
402,410,1062.812,6375.556,1050,6365,26,22,0.871,26.420,1051,6369,150.524,21.920,1.184,0.845,0.928
403,4,1127.000,6372.000,1126,6371,2,2,1.000,2.828,1126,6371,135.000,2.000,1.000,1.000,1.000
404,7,4850.786,6375.214,4849,6373,3,4,0.800,5.000,4849,6377,53.130,2.683,2.211,0.452,0.778
405,17,2860.618,6378.147,2858,6375,5,6,0.820,7.211,2859,6375,123.690,3.536,2.168,0.461,0.829
406,4,5883.000,6382.000,5882,6381,2,2,1.000,2.828,5882,6381,135.000,2.000,1.000,1.000,1.000
407,7,3474.214,6395.500,3473,6394,3,3,1.000,3.606,3473,6394,123.690,3.000,1.069,0.936,0.875
408,50,2573.700,6408.900,2564,6401,17,18,0.250,24.083,2565,6419,48.366,3.536,8.750,0.114,0.649
409,11,1409.409,6403.864,1407,6402,5,3,0.887,5.385,1407,6403,158.199,3.000,2.025,0.494,0.846
410,7,3433.500,6437.500,3432,6436,3,3,1.000,4.243,3432,6436,135.000,2.828,1.596,0.626,0.875
411,20,2817.750,6441.500,2815,6439,6,5,0.965,6.325,2815,6440,161.565,5.000,1.224,0.817,0.833
412,14,5068.857,6443.714,5065,6442,7,4,0.535,7.280,5065,6444,15.945,3.638,2.422,0.413,0.700
413,5,2025.700,6464.700,2024,6463,3,3,0.873,4.243,2024,6466,45.000,2.121,2.308,0.433,0.769
414,59,4428.517,6482.788,4424,6478,9,9,1.000,9.849,4427,6478,113.962,8.944,1.088,0.919,0.894
415,29,5490.500,6481.983,5487,6479,8,6,0.829,8.544,5487,6480,159.444,5.367,1.712,0.584,0.817
416,26,1170.269,6485.731,1167,6483,6,6,0.932,7.211,1167,6484,146.310,6.000,1.111,0.900,0.852
417,8,3414.625,6491.625,3413,6490,3,3,1.000,4.243,3413,6493,45.000,3.000,1.229,0.814,0.941
418,27,3955.648,6494.944,3951,6493,9,4,0.747,9.487,3951,6496,18.435,4.000,2.360,0.424,0.885
419,91,2475.830,6535.093,2471,6529,10,12,0.780,12.649,2473,6541,71.565,10.000,1.215,0.823,0.888
420,4,6205.000,6538.000,6204,6537,2,2,1.000,2.828,6204,6537,135.000,2.000,1.000,1.000,1.000
421,126,3457.548,6557.944,3451,6552,13,12,0.959,13.928,3451,6556,158.962,12.000,1.089,0.919,0.930
422,5,3102.100,6554.300,3101,6553,2,3,1.000,3.606,3101,6553,123.690,2.000,1.553,0.644,0.909
423,113,2477.146,6563.394,2467,6556,18,15,0.346,18.682,2467,6564,15.524,13.606,1.494,0.670,0.646
424,5,1158.900,6571.700,1158,6570,2,3,1.000,3.606,1158,6570,123.690,2.000,1.553,0.644,0.909
425,37,4450.824,6575.041,4447,6572,8,6,1.000,8.944,4447,6573,153.435,6.000,1.435,0.697,0.892
426,18,2483.833,6575.944,2482,6573,4,6,0.965,6.708,2482,6573,116.565,4.000,1.516,0.659,0.878
427,14,2478.571,6576.357,2477,6574,3,5,1.000,5.831,2477,6574,120.964,3.000,1.662,0.602,0.966
428,6,1770.000,6583.000,1768,6582,4,2,0.916,4.472,1768,6584,26.565,2.000,2.082,0.480,0.857
429,4,746.000,6598.000,745,6597,2,2,1.000,2.828,745,6597,135.000,2.000,1.000,1.000,1.000
430,12,1096.667,6617.083,1094,6615,5,4,0.931,5.385,1094,6616,158.199,3.795,1.540,0.649,0.774
431,79,4301.791,6623.690,4296,6618,11,11,0.919,11.402,4296,6624,15.255,10.539,1.033,0.968,0.873
432,18,4045.389,6633.222,4043,6631,5,5,1.000,5.831,4043,6635,30.964,4.950,1.130,0.885,0.857
433,13,3296.654,6635.962,3294,6634,5,4,1.000,5.385,3294,6635,158.199,4.000,1.416,0.706,0.812
434,6,2946.000,6643.500,2945,6642,2,3,1.000,3.606,2945,6642,123.690,2.000,1.500,0.667,1.000
435,20,4344.600,6645.050,4342,6643,5,5,0.994,6.403,4342,6643,141.340,5.000,1.142,0.876,0.909
436,13,1099.346,6648.500,1098,6646,3,5,1.000,5.385,1098,6646,111.801,3.000,1.622,0.617,0.929
437,13,4375.038,6648.115,4373,6646,4,4,1.000,5.657,4373,6650,45.000,4.000,1.450,0.690,0.897
438,6,3393.000,6648.500,3392,6647,2,3,1.000,3.606,3392,6647,123.690,2.000,1.500,0.667,1.000
439,6,3861.833,6649.833,3860,6648,3,3,0.916,4.243,3860,6651,45.000,2.828,1.593,0.628,0.857
440,144,3614.431,6695.111,3607,6689,15,12,0.933,15.524,3607,6697,14.931,12.000,1.177,0.849,0.917
441,7,4568.500,6691.214,4567,6690,3,3,1.000,3.606,4567,6690,123.690,3.000,1.069,0.936,0.875
442,11,4608.136,6699.682,4606,6698,5,4,0.780,6.403,4606,6702,38.660,3.130,2.315,0.432,0.786
443,2938,740.357,6734.162,708,6702,66,63,0.661,66.910,708,6727,170.538,59.640,1.126,0.888,0.936
444,1759,4582.906,6735.165,4557,6708,49,53,0.728,61.612,4566,6758,54.246,39.384,1.507,0.664,0.940
445,642,984.430,6729.218,971,6709,29,39,0.638,43.932,971,6711,131.309,22.004,2.117,0.472,0.874
446,16,4416.125,6713.500,4414,6711,4,5,1.000,5.831,4415,6711,120.964,4.000,1.262,0.792,0.889
447,6,5064.667,6725.667,5063,6724,3,3,1.000,3.606,5064,6724,123.690,2.828,1.291,0.775,0.800
448,188,4413.894,6759.660,4406,6752,16,15,0.925,17.088,4406,6763,20.556,15.000,1.070,0.934,0.928
449,5,2050.500,6781.500,2049,6780,3,3,0.873,3.162,2050,6780,108.435,2.828,1.000,1.000,0.714
450,8,2849.875,6784.625,2847,6783,5,3,0.645,5.831,2847,6786,30.964,2.683,2.823,0.354,0.727
451,16,2354.125,6794.062,2351,6792,6,4,0.927,6.325,2351,6793,161.565,4.000,1.661,0.602,0.821
452,92,5964.728,6815.359,5958,6810,13,11,0.612,15.811,5958,6819,34.695,8.944,1.783,0.561,0.852
453,5,3825.700,6856.100,3824,6855,3,2,1.000,3.606,3824,6857,33.690,2.000,1.553,0.644,0.909
454,18,634.000,6858.722,631,6857,6,4,0.965,6.708,631,6857,153.435,4.000,1.564,0.639,0.878
455,36,4258.056,6864.111,4249,6857,16,15,0.223,21.932,4249,6872,43.152,3.536,9.223,0.108,0.595
456,20,3348.750,6863.250,3346,6861,5,5,1.000,5.831,3347,6861,120.964,5.000,1.038,0.963,0.909
457,45,3375.278,6869.344,3369,6866,11,7,0.647,11.705,3369,6871,19.983,7.000,1.749,0.572,0.756
458,6,4242.000,6882.500,4240,6881,4,3,0.769,5.000,4240,6884,36.870,2.121,2.810,0.356,0.750
459,4,697.000,6886.000,696,6885,2,2,1.000,2.828,696,6885,135.000,2.000,1.000,1.000,1.000
460,14,5996.786,6915.143,5994,6913,5,4,0.993,5.657,5995,6913,135.000,4.000,1.395,0.717,0.824
461,24,1484.500,6932.917,1481,6931,7,4,0.941,7.616,1481,6931,156.801,4.000,1.645,0.608,0.923
462,51,1594.225,6947.382,1591,6940,7,14,0.457,14.318,1592,6940,102.095,6.698,2.305,0.434,0.708
463,39,625.321,6984.705,622,6981,7,8,0.929,8.544,624,6989,69.444,7.000,1.077,0.929,0.857
464,11,1160.409,7001.318,1157,6999,7,4,0.494,8.062,1157,7003,29.745,3.130,3.599,0.278,0.647
465,17,6375.618,7014.265,6373,7012,6,5,0.820,7.211,6373,7012,146.310,4.160,1.918,0.521,0.791
466,64,1555.609,7020.328,1551,7016,9,9,0.906,11.402,1551,7023,37.875,8.485,1.276,0.784,0.921
467,6,3973.000,7076.000,3971,7075,4,2,0.916,4.472,3971,7077,26.565,2.000,2.082,0.480,0.857
468,4,5661.500,7109.250,5660,7108,3,2,1.000,3.162,5660,7109,161.565,2.000,1.468,0.681,0.800
469,8,5084.750,7129.375,5083,7128,4,3,1.000,5.000,5083,7131,36.870,2.828,1.939,0.516,0.842
470,5,1421.700,7146.100,1420,7145,3,2,1.000,3.606,1420,7147,33.690,2.000,1.553,0.644,0.909
471,13,2460.654,7171.808,2457,7170,7,3,0.646,7.071,2457,7171,171.870,3.000,2.753,0.363,0.765
472,129,3615.663,7192.314,3609,7186,14,13,0.768,15.232,3609,7195,23.199,12.969,1.123,0.890,0.872
473,5,1780.700,7199.100,1779,7198,3,2,1.000,3.606,1779,7200,33.690,2.000,1.553,0.644,0.909
474,12,6336.500,7285.417,6333,7283,8,4,0.404,8.944,6333,7283,153.435,3.130,3.976,0.252,0.600
475,63,6320.976,7290.246,6316,7286,11,9,0.674,11.402,6316,7288,164.745,9.000,1.230,0.813,0.797
476,16,5852.812,7289.938,5850,7288,5,5,0.857,5.831,5852,7293,59.036,4.950,1.014,0.987,0.821
477,532,3995.090,7322.722,3970,7295,43,43,0.280,48.877,3981,7295,120.763,24.252,2.549,0.392,0.541
478,27,6000.648,7296.870,5997,7295,8,4,0.910,8.246,5997,7295,165.964,4.000,1.853,0.540,0.931
479,13,3260.423,7328.808,3258,7327,5,4,1.000,5.099,3258,7328,168.690,4.000,1.145,0.874,0.812
480,4,2280.000,7346.000,2279,7345,2,2,1.000,2.828,2279,7345,135.000,2.000,1.000,1.000,1.000
481,18,1660.389,7354.000,1659,7351,4,7,0.662,8.062,1659,7358,60.255,4.000,2.498,0.400,0.818
482,8,3367.625,7386.625,3366,7385,3,3,1.000,4.243,3366,7388,45.000,3.000,1.229,0.814,0.941
483,133,3338.658,7392.417,3332,7386,14,13,0.852,14.765,3332,7395,28.301,12.854,1.099,0.910,0.899
484,182,3704.187,7424.676,3696,7417,16,15,0.926,17.088,3696,7427,20.556,14.960,1.121,0.892,0.919
485,264,3713.223,7462.265,3703,7453,21,18,0.867,21.587,3703,7459,166.608,18.000,1.157,0.865,0.917
486,9,2923.500,7458.833,2922,7457,3,4,1.000,5.000,2922,7457,126.870,3.000,1.542,0.648,0.857
487,12,2558.833,7463.000,2556,7461,5,4,0.851,6.403,2556,7461,141.340,3.479,2.022,0.495,0.774
488,27,3039.759,7473.944,3036,7471,7,6,0.836,8.062,3036,7475,29.745,5.687,1.531,0.653,0.818
489,6,4023.500,7475.667,4022,7474,3,3,1.000,4.243,4022,7477,45.000,2.683,1.809,0.553,0.800
490,64,3725.125,7485.000,3720,7481,10,8,0.921,10.817,3720,7483,146.310,8.000,1.169,0.856,0.908
491,5,3576.700,7495.900,3575,7495,3,2,1.000,3.606,3575,7495,146.310,2.000,1.553,0.644,0.909
492,8,4457.750,7499.875,4456,7498,4,3,0.914,4.472,4456,7499,153.435,3.000,1.435,0.697,0.842
493,11,2878.500,7507.500,2876,7506,5,3,0.976,5.099,2876,7507,168.690,3.000,1.469,0.681,0.846
494,6,4611.500,7564.667,4610,7563,3,3,0.686,3.606,4611,7563,123.690,3.000,1.162,0.861,0.750
495,21,1607.357,7597.071,1604,7594,6,6,0.802,7.810,1604,7599,39.806,4.400,2.092,0.478,0.792
496,18,4030.889,7619.778,4029,7617,4,6,0.965,6.325,4030,7623,71.565,4.000,1.416,0.706,0.878
497,39,1582.141,7633.423,1577,7629,9,8,0.662,11.402,1577,7636,37.875,5.547,2.262,0.442,0.796
498,10,4595.400,7666.400,4593,7665,5,3,0.887,5.099,4593,7666,168.690,3.000,1.577,0.634,0.800
499,5,5998.100,7680.700,5997,7679,2,3,1.000,3.606,5997,7682,56.310,2.000,1.553,0.644,0.909
500,25,3055.620,7693.300,3052,7691,7,5,0.954,8.062,3052,7691,150.255,4.950,1.704,0.587,0.893
501,31,4836.081,7710.048,4830,7706,11,8,0.475,13.601,4830,7714,36.027,4.400,4.044,0.247,0.697
502,30,5777.933,7723.233,5776,7718,4,12,0.439,12.649,5776,7730,71.565,4.000,4.130,0.242,0.732
503,12,693.000,7727.500,691,7726,4,3,1.000,5.000,691,7726,143.130,3.000,1.333,0.750,1.000
504,4,2352.250,7738.750,2351,7738,3,2,1.000,3.606,2351,7740,33.690,2.000,2.000,0.500,0.800
505,20,729.600,7744.400,727,7742,5,5,0.994,6.403,727,7746,38.660,4.919,1.281,0.781,0.889
506,726,653.694,7767.923,636,7753,34,30,0.651,35.440,636,7768,16.390,30.000,1.059,0.944,0.909
507,12,1043.417,7756.583,1041,7755,5,4,0.695,5.385,1041,7757,21.801,4.000,1.238,0.808,0.774
508,6,5918.333,7791.667,5917,7790,3,3,1.000,3.606,5917,7793,33.690,2.828,1.291,0.775,0.800
509,13,4716.038,7821.654,4714,7819,4,5,0.922,5.385,4715,7824,68.199,4.000,1.416,0.706,0.812
510,4,1195.000,7912.000,1194,7911,2,2,1.000,2.828,1194,7911,135.000,2.000,1.000,1.000,1.000
511,29,3526.810,7935.259,3523,7930,7,9,0.613,10.817,3524,7939,56.310,4.950,2.674,0.374,0.773
512,10,2607.400,7936.100,2605,7934,5,4,0.709,6.403,2605,7938,38.660,3.051,2.660,0.376,0.714
513,11,2576.773,7943.682,2574,7942,6,3,0.715,6.708,2574,7945,26.565,2.910,2.714,0.368,0.786
514,4,2844.000,7954.000,2843,7953,2,2,1.000,2.828,2843,7953,135.000,2.000,1.000,1.000,1.000
515,9,2442.500,7972.500,2441,7971,3,3,1.000,4.243,2441,7971,135.000,3.000,1.000,1.000,1.000
516,18,3547.333,8005.000,3544,8003,6,4,0.895,6.708,3544,8006,26.565,4.000,1.643,0.609,0.857
517,9,5089.833,8006.944,5088,8005,3,4,1.000,4.472,5089,8005,116.565,3.000,1.536,0.651,0.857
518,6,1305.667,8022.500,1304,8021,3,3,1.000,4.243,1304,8024,45.000,2.683,1.809,0.553,0.800
519,6,2774.500,8026.000,2773,8025,3,2,1.000,3.606,2773,8025,146.310,2.000,1.500,0.667,1.000
520,18,2466.722,8036.556,2464,8034,5,5,0.965,7.071,2464,8034,135.000,4.743,1.600,0.625,0.857
521,14,1653.786,8044.857,1652,8043,4,4,1.000,5.657,1652,8047,45.000,4.000,1.239,0.807,0.933
522,15,5313.767,8079.767,5311,8078,5,4,0.804,5.657,5312,8082,45.000,4.000,1.231,0.812,0.833
523,5,5469.100,8085.300,5468,8084,2,3,1.000,3.606,5468,8084,123.690,2.000,1.553,0.644,0.909
524,174,1541.063,8097.764,1530,8091,22,13,0.604,22.361,1530,8099,10.305,13.000,1.737,0.576,0.773
525,4,1526.000,8098.000,1525,8097,2,2,1.000,2.828,1525,8097,135.000,2.000,1.000,1.000,1.000
526,5,5837.900,8117.700,5837,8116,2,3,1.000,3.606,5837,8116,123.690,2.000,1.553,0.644,0.909
527,38,4519.658,8127.579,4516,8124,7,7,0.924,8.602,4517,8124,125.538,7.000,1.065,0.939,0.844
528,24,4553.000,8156.750,4549,8152,9,10,0.400,13.454,4549,8152,131.987,3.371,5.555,0.180,0.686
529,30,3437.233,8165.700,3433,8162,8,7,0.714,10.000,3433,8162,143.130,4.919,2.170,0.461,0.811
530,39,5901.090,8186.603,5897,8183,8,7,0.978,8.544,5897,8185,159.444,7.000,1.153,0.867,0.848
531,75,3580.820,8237.460,3575,8232,11,10,0.750,12.207,3576,8240,34.992,10.000,1.156,0.865,0.843
532,17,2237.029,8242.971,2234,8241,7,4,0.649,7.616,2234,8244,23.199,4.000,1.942,0.515,0.756
533,7,4007.786,8244.500,4006,8243,3,3,1.000,3.606,4007,8243,123.690,3.000,1.069,0.936,0.875
534,40,4549.025,8256.650,4543,8246,11,21,0.192,23.707,4543,8267,62.354,3.130,10.951,0.091,0.611
535,4,911.500,8250.000,910,8249,3,2,1.000,3.606,910,8249,146.310,2.000,2.031,0.492,0.800
536,5,4052.700,8282.100,4051,8281,3,2,1.000,3.606,4051,8283,33.690,2.000,1.553,0.644,0.909
