 ,Area,X,Y,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
126,9,2336.500,2962.167,2335,2960,3,4,1.000,5.000,2335,2960,126.870,3.000,1.542,0.648,0.857
127,14,2513.500,2967.214,2511,2965,5,4,1.000,5.385,2511,2966,158.199,4.000,1.388,0.720,0.824
128,4,646.500,2980.000,646,2978,1,4,0.645,4.123,646,2978,104.036,1.000,4.000,0.250,1.000
129,23,3411.587,2985.891,3409,2982,5,7,0.560,7.280,3410,2989,74.055,5.000,1.297,0.771,0.767
130,34,880.912,2986.824,877,2983,8,7,0.853,8.246,877,2985,165.964,6.708,1.176,0.850,0.810
131,12,2959.333,2984.417,2957,2983,5,3,1.000,5.385,2957,2983,158.199,3.000,1.579,0.633,0.889
132,19,5599.342,2997.184,5596,2995,6,5,0.853,6.403,5597,2999,38.660,4.743,1.420,0.704,0.809
133,41,2336.720,3017.695,2331,3014,11,6,0.740,11.180,2331,3019,10.305,6.000,1.942,0.515,0.828
134,4,5507.250,3024.500,5506,3023,2,3,0.857,3.162,5507,3023,108.435,2.000,1.468,0.681,0.800
135,11,5422.864,3033.591,5421,3032,4,3,1.000,5.000,5421,3032,143.130,3.000,1.372,0.729,0.957
136,5,3502.900,3049.700,3502,3048,2,3,1.000,3.606,3502,3048,123.690,2.000,1.553,0.644,0.909
137,7,5407.357,3059.786,5406,3058,3,3,1.000,4.243,5406,3058,135.000,3.000,1.380,0.725,0.875
138,32,5486.938,3078.156,5483,3075,8,6,0.968,8.246,5483,3079,14.036,6.000,1.230,0.813,0.831
139,37,5308.284,3087.743,5305,3085,7,6,0.969,8.602,5305,3090,35.538,6.000,1.180,0.848,0.949
140,4,5733.500,3100.750,5732,3100,3,2,1.000,3.162,5732,3100,161.565,2.000,1.468,0.681,0.800
141,4,1656.000,3105.000,1655,3104,2,2,1.000,2.828,1655,3104,135.000,2.000,1.000,1.000,1.000
142,5,5478.700,3121.900,5477,3121,3,2,1.000,3.606,5477,3121,146.310,2.000,1.553,0.644,0.909
143,11,3063.500,3138.500,3061,3137,5,3,0.976,5.831,3061,3137,149.036,3.000,2.219,0.451,0.846
144,38,2669.342,3141.974,2665,3139,8,6,0.861,8.944,2665,3143,26.565,6.000,1.235,0.810,0.894
145,21,3045.643,3156.833,3043,3154,6,6,0.856,7.810,3043,3154,129.806,4.472,1.764,0.567,0.808
146,51,1603.225,3162.010,1598,3158,11,8,0.658,12.083,1598,3158,155.556,7.637,1.533,0.652,0.773
147,4,3791.500,3187.250,3790,3186,3,2,1.000,3.162,3790,3187,161.565,2.000,1.468,0.681,0.800
148,28,5409.000,3195.679,5406,3193,6,6,0.943,7.211,5406,3194,146.310,6.000,1.151,0.869,0.862
149,5,4206.700,3208.100,4205,3207,4,2,0.572,4.472,4205,3209,26.565,2.000,2.165,0.462,0.667
150,14,3628.786,3255.571,3626,3253,5,5,0.675,5.831,3627,3253,120.964,4.715,1.473,0.679,0.718
151,48,3419.562,3259.250,3416,3255,8,8,0.967,9.220,3417,3255,130.601,8.000,1.035,0.966,0.889
152,4,3881.750,3282.500,3881,3281,2,3,0.857,3.162,3881,3281,108.435,2.000,1.468,0.681,0.800
153,4,1781.500,3323.750,1780,3322,3,3,0.698,4.243,1780,3322,135.000,2.121,2.654,0.377,0.667
154,11,3478.773,3323.773,3476,3322,5,4,0.780,5.385,3476,3324,21.801,3.795,1.569,0.637,0.759
155,6,753.500,3352.000,752,3351,3,2,1.000,3.606,752,3351,146.310,2.000,1.500,0.667,1.000
156,25,3551.100,3353.220,3547,3351,8,5,0.774,8.246,3547,3353,14.036,5.000,1.470,0.680,0.820
157,16,3248.500,3356.875,3246,3355,5,4,1.000,5.831,3246,3355,149.036,4.000,1.262,0.792,0.889
158,650,2084.178,3375.345,2069,3360,31,30,0.882,31.575,2069,3374,169.046,28.983,1.042,0.960,0.934
159,11,3243.045,3365.318,3241,3363,4,4,0.976,5.000,3241,3367,36.870,3.536,1.450,0.689,0.846
160,6,1014.000,3366.833,1012,3366,4,2,0.916,4.123,1012,3366,165.964,2.000,1.809,0.553,0.857
161,33,6150.530,3388.348,6147,3385,7,7,0.786,7.810,6147,3386,129.806,7.000,1.142,0.876,0.815
162,13,3690.500,3413.115,3688,3411,5,4,0.922,6.403,3688,3415,38.660,3.536,2.125,0.471,0.839
163,5,4003.300,3416.100,4002,3415,3,2,1.000,3.606,4002,3415,146.310,2.000,1.553,0.644,0.909
164,12,5480.417,3428.167,5478,3426,4,4,0.967,5.000,5478,3429,36.870,4.000,1.218,0.821,0.889
165,47,5909.372,3432.138,5905,3428,9,8,0.887,10.296,5905,3429,150.945,7.155,1.498,0.667,0.810
166,7,5519.071,3432.214,5517,3431,4,3,0.898,4.472,5517,3431,153.435,2.828,1.668,0.600,0.778
167,58,774.741,3436.603,771,3432,8,9,0.960,10.296,772,3432,119.055,8.000,1.244,0.804,0.913
168,38,5590.395,3438.500,5586,3435,8,7,0.953,8.246,5586,3438,165.964,7.000,1.068,0.937,0.884
169,4,5596.000,3438.000,5595,3437,2,2,1.000,2.828,5595,3437,135.000,2.000,1.000,1.000,1.000
170,50,5381.480,3444.320,5375,3438,11,12,0.334,14.422,5376,3438,123.690,7.488,2.354,0.425,0.599
171,23,2127.196,3441.978,2124,3440,6,5,0.902,7.211,2124,3440,146.310,5.000,1.422,0.703,0.885
172,416,842.370,3452.726,830,3441,27,23,0.745,28.460,830,3456,18.435,22.553,1.112,0.899,0.885
173,6,5455.333,3443.667,5454,3442,3,3,1.000,3.606,5454,3445,33.690,2.828,1.291,0.775,0.800
174,119,5307.223,3456.651,5301,3451,13,12,0.906,13.928,5301,3460,21.038,12.000,1.105,0.905,0.912
175,8,5443.625,3452.625,5442,3451,3,3,1.000,4.243,5442,3454,45.000,3.000,1.229,0.814,0.941
176,12,5401.583,3467.333,5400,3465,3,5,0.967,5.385,5401,3470,68.199,3.000,1.579,0.633,0.889
177,11,5569.500,3489.136,5567,3488,5,3,0.887,5.385,5567,3488,158.199,3.000,1.957,0.511,0.846
178,11,5309.136,3494.591,5307,3493,4,3,1.000,5.000,5307,3496,36.870,3.000,1.372,0.729,0.957
179,741,5444.877,3514.966,5428,3499,35,31,0.827,35.228,5428,3517,6.520,30.406,1.037,0.964,0.927
180,16,5508.312,3504.312,5506,3502,5,4,1.000,5.831,5506,3503,149.036,4.000,1.314,0.761,0.914
181,18,5369.222,3527.944,5367,3525,5,5,0.965,5.831,5367,3526,149.036,5.000,1.106,0.904,0.837
182,218,5517.606,3555.674,5509,3547,18,17,0.843,18.439,5509,3559,12.529,16.971,1.077,0.929,0.901
183,25,850.700,3557.260,847,3554,7,6,0.821,7.810,848,3560,39.806,5.657,1.599,0.625,0.781
184,12,3259.500,3562.000,3257,3560,5,4,0.931,5.385,3257,3561,158.199,3.536,1.504,0.665,0.800
185,20,3019.600,3585.700,3017,3583,6,5,0.898,6.325,3017,3584,161.565,5.000,1.278,0.783,0.833
186,281,2625.721,3596.557,2616,3587,20,19,0.913,20.616,2616,3599,14.036,19.000,1.046,0.956,0.924
